,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
W3-3.0613.0932,S,16,,,1,,,,,,,,,,,,,,,,,,,
W3-2.0613.0912,S,22,,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0912,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0852,S,3,,,,,,,,,,,,,,,,,1,,,,,
W3-1.0613.0852,M,,1,1,,,,,,,,,,,,,,,,,,,,
W2-3.0620.0834,S,2,,,1,,,,,,,,,,,,,,,,,,,
W2-2.0620.0929,S,31,1,,4,,3,,,,,,,,,,,,,,,,,
W2-2.0620.0929,M,1,,2,,,,1,,,,,,,,,,,,,,,,
W2-2.0620.0929,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0620.1019,S,37,5,4,2,,,,,,,,,,,,,,,,,,,
W2-3.0620.1019,M,3,3,2,,,,,,,,,,,,,,,,,,,,
W2-3.0620.1019,L,,,2,,,,,,,,,,,,,,,,,,,,
W2-3.0620.1019,G,,,,,,,,,,,1,,,,,,,,,,,,
W2-2.0620.0859,S,29,,,15,,,,,,,,,,,,,,,,,,,
W2-1.0620.0824,S,11,,,,,,,,,,,,,,,,,,,,,,
W2-2.0620.0844,S,6,,,4,,,,,,,,,,,,,,,,,,,
W2-2.0620.0844,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0613.1012,S,3,,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.1012,M,,,1,,,,,,,,,,,,,,,,,,,,
S2-3.0625.1010,S,11,,1,8,,,,,,,,,,,,,,,,,,,
S2-3.0625.1010,M,3,5,1,,,,1,,,,,,,,,,,,,,,,
S2-3.0625.1010,L,,1,5,,,,,,,,,,,,,,,,,,,,
S2-2.0625.0930,S,8,,,,,1,,,,,,,2,,,,,,,,,,
S2-2.0625.0930,M,1,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0625.1000,S,13,2,,1,,1,,,,,,,,,,,,,,,,,
S1-2.0625.1000,M,,1,2,,,2,4,,,,,,,,,,,,,,,,
S1-2.0625.1000,L,1,,5,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0940,S,14,2,,1,,1,,,,,,,,,,,,,,,,,
S2-3.0625.0940,M,1,2,1,,,1,,,,,,,,,,,,,,,,,
S2-3.0625.0940,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-1.0625.0935,S,15,4,1,16,1,,,,,,,,,,,,,,,,,,
S3-1.0625.0935,M,,,,2,,,,1,,,,,,,,,,,,,,,
S3-1.0625.1005,S,23,2,,13,,,,,,,,,,,,,,,1 Arachnid,,,,
S3-1.0625.1005,M,1,1,1,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0925,S,12,,,7,,,,,,,,,,,,,,,,,,,
S3-3.0625.0925,M,2,1,1,3,,,,,,,,,,,,,,,,,,,
S3-3.0625.0925,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-1.0625.0905,S,3,1,,22,,,1,,,,,,,,,,,,,,,,
S2-1.0625.1005,S,21,2,1,2,,,,,,,,,,,,,,,,,,,
S2-1.0625.1005,M,4,8,2,,,5,,,,,,,,,,,,,,,,,
S2-1.0625.1005,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0625.0825,S,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0625.0945,S,10,,,,,1,,,,,,,,,,,,,,,,,
S2-2.0625.0945,M,1,2,,,,1,,,,,,,,,,,,,,,,,
S3-3.0625.1010,S,6,4,,3,,,,,,,,,,,,,,,,,,,
S3-3.0625.1010,M,3,1,,,,,1,,,,,,,,,,,,,,,,
S3-1.0625.0950,S,13,3,,6,,,,,,,,,,,,,,,,,,,
S3-1.0625.0950,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0625.0855,S,4,3,,2,,1,,,,,,,,,,,,,,,,,
S2-3.0625.0855,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0625.1020,S,30,1,,10,,,1,,,,,,,,,,,,,,,,
S3-1.0625.1020,M,1,,1,,,,4,,,,,,,,,,,,,,,,
S3-2.0625.0930,S,4,3,,4,,,,,,,,,,,,,,,,,,,
S3-2.0625.0930,M,1,,,,,,1,,,,,,,,,,,,,,,,
S2-2.0625.0845,S,1,4,,2,,,,,,,,,,,,,,,,,,,
S3-3.0625.0940,S,6,1,,1,,,,,,,,,,,,,,,,,,,
S3-3.0625.0940,M,,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0625.0940,L,,,,,,1,,,,,,,,,,,,,,,,,
S2-1.0625.0935,S,14,1,1,1,,2,,,,,,,,,,,,,,,,,
S2-1.0625.0935,M,2,3,,,,3,,,,,,,,,,,,,,,,,
W1-2.0627.0900,S,7,,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0900,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0950,S,17,,,1,,,,,,,,,,,,,,,,,,,
W1-1.0627.0950,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0950,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0627.1015,S,20,,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.1015,M,,1,2,,,,,,,,,,,,,,,,,,,,
W1-1.0627.1005,S,24,,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.1005,M,,1,1,,,1,,,,,,,,,,,,,,,,,
W1-1.0627.1005,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0905,S,18,,,1,,,,,,,,,,,,,,,,,,,
W1-1.0627.0905,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0905,L,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.1000,S,43,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.1000,M,3,1,1,,,,,,,,,,,,,,,,,,,,
W2-2.0627.1000,G,,,,,,,,,,,1,,,,,,,,,,,,
W1-2.0627.0845,S,2,,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0955,S,22,,,1,,,,,,,,,,,,,,,,,,,
W2-3.0627.0955,M,1,1,2,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0955,G,,,,,,,,,,,,,,,1,,,,,,,,
W1-3.0627.0910,S,54,1,,1,,,,,,,,,,,,,,,,,,,
W1-3.0627.0910,M,6,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0910,L,2,,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1020,S,31,,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1020,M,,3,3,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1020,L,,,2,,,,,,,,1,,,,,,,,,,,,
W3-3.0627.0925,S,110,2,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0925,M,1,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0925,L,,,2,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0850,S,6,,,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0855,S,38,,,,,,,,,,,,,,,,3,,,,,,
W3-2.0627.0915,S,26,,,,,,,,,,,,,,,,,,,,,,
W3-2.0627.0900,S,30,,,,,1,,,,,,,,,,,,,,,,,
W3-2.0627.0900,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0830,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0830,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0627.1000,S,44,,,1,,,2,,,,,,,,,,1,,,,,,
W3-2.0627.1000,M,2,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0627.1000,L,,,2,,,,,,,,,,,,,,,,,,,,
W3-3.0627.1010,S,37,2,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.1010,M,2,5,2,,,,,,,,,,,,,,,,,,,,
W3-3.0627.1010,G,,,1,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0910,S,9,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.0910,M,,1,3,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0835,S,2,,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0835,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0945,S,14,,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0945,M,,5,2,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0945,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0855,S,12,,,1,,,,,,,,,,,,,,,,,,,
W1-3.0627.0855,M,5,2,,,,,,,,,,,,,,,1,Arachnid,,,,,
S1-2.0625.0913,S,1,,,,,,,,,,,,,,,,,,,,,,
S1-2.0625.0913,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0935,S,6,,,1,,,,,,,,,,,,,,,,,,,
W1-1.0627.0935,M,1,2,4,,,3,,,,,,,,,,,,,,,,,
W2-1.0627.0920,S,12,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0920,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0920,L,,,,,,,,,,,1,,,,,,,,,,,,
Z3-2.0630.0829,S,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0929,S,11,,,1,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0929,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0929,,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0859,S,9,,,1,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0944,S,14,3,,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0944,M,,2,,,,,8,,,,,,,,,,,,,,,,
Z1-2.0630.0829,S,,2,,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0849,S,5,,,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0844,S,,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0630.0824,S,1,1,,,,1,,,,,,,,,,,,1,,,,,
Z1-1.0630.1019,S,17,7,,4,,,,,,,,,,,,,,,,,,,
Z1-1.0630.1019,M,,,,,,,2,,,,,,,,,,,,,,,,
Z1-1.0630.0919,S,5,2,1,,,2,,,,,,,,,,,,,,,,,
Z1-1.0630.0919,M,,1,,,,,1,,,,,,,,,,,,,,,,
Z1-2.0630.1014,S,9,5,1,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.1014,M,,,,,,,4,,,,,,,,,,,,,,,,
Z1-2.0630.1014,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0914,S,7,,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0630.0909,S,10,2,1,,,,6,,,,,,,,,,,,,,,,
Z1-3.0630.0909,M,1,2,,,,1,,,,,,,,,,,,,,,,,
Z2-2.0630.0959,S,7,2,1,1,,1,,,,,,,,,,,,,,,,,
Z2-2.0630.0959,M,,5,2,2,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0959,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0954,S,4,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0954,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0954,L,,,2,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0939,S,4,1,,,,1,,,,,,,,,,,,,,,,,
Z2-3.0630.0939,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0939,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.1004,S,13,,,5,,,,,,,,,,,,,,,,,,,
Z2-1.0630.1004,M,,4,5,1,,1,,,,,1,,,,,,,,,,,,
Z2-2.0630.1014,S,9,,,3,,,,,,,,,,,,,,,,,,,
Z2-2.0630.1014,M,,1,3,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.1014,L,,,2,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0954,S,24,10,,1,,,1,,,,,,,,,,,,,,,,
Z3-3.0630.0954,M,,7,,1,,1,,,,,,,,,,,,,,,,,
Z3-3.0630.0954,L,,4,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0954,G,,1,,,,,,,,1,,,,,,,,,,,,,
Z3-3.0630.0924,S,13,11,,2,2,,,,,,,,,,,,,,,,,,
Z3-3.0630.0924,M,3,1,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0924,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0939,S,28,11,,,,3,,,,,,,,,,,,,,,,,
Z3-3.0630.0939,M,,7,3,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0939,L,,2,,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0914,S,9,2,2,2,,1,,,,,,,,,,,,,,,,,
Z3-2.0630.0914,M,,1,3,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0914,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0854,S,5,2,,1,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0854,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0859,S,18,,,2,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0859,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0844,S,8,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.0839,S,5,,,4,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0849,S,2,,,,,,,,,,,,,,,,,,,,,,
Z1-3.0630.1009,S,11,4,,,,1,5,,,,,,,,,,,,,,,,
Z1-3.0630.1009,M,,1,1,,,,5,,,,,,,,,,,,,,,,
Z1-3.0630.1009,L,,,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.1004,S,7,,,,,,4,,,,,,,,,,,,,,,,
Z1-1.0630.1004,M,2,,,,,,2,,,,,,,,,,,,,,,,
Z1-1.0630.1004,G,,,,,,,,,,1,,,,,,,,,,,,,
Z1-2.0630.0959,S,4,4,,,,,,,,,,,,,,,,,,,,,
Z1-2.0630.0959,M,1,,,,,,4,,,,,,,,,,,,,,,,
Z1-3.0630.0954,S,13,4,1,,,,11,,,,,,,,,,,,,,,,
Z1-3.0630.0954,M,,,,,,,14,,,,1,,,,,,,,,,,,
Z1-3.0630.0954,L,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0930,S,11,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0930,M,1,,2,,,,,,,,,,,,,,,,,,,,
W2-2.0627.0930,L,,,,,,,,,,,1,,,,,,,,,,,,
W2-2.0627.0930,G,,,,,,,,,,,1,,,,,,,,,,,,
W3-3.0627.0840,S,22,1,,,,,3,,,,,,,,,,,,,,,,
W3-3.0627.0840,M,,,2,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0930,S,2,1,,1,,,,,,,,,,,,,,,,,,,
W1-2.0627.0930,M,,1,2,,,1,,,,,,,,,,,,,,,,,
Z2-1.0630.0834,S,2,1,,1,,,,,,,,,,,,,,,,,,,
Z2-1.0630.1019,S,4,1,2,3,,4,,,,,,,,,,,,,,,,,
Z2-1.0630.1019,M,,2,2,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.1019,L,,1,2,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0859,S,4,,,1,,,,1,,,,,,,,,,,,,,,
Z2-2.0630.0859,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.1010,S,4,1,,1,,2,,,,,,,,,,,,,,,,,
W2-3.0627.1010,M,1,1,,,,,,,,,,,,,,,,,,,,,
W2-3.0627.1010,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0944,S,5,2,3,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0944,M,,2,2,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0944,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0630.0829,S,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.1014,S,21,,,,,3,,,,,,,,,,,,,,,,,
Z3-2.0630.1014,M,1,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0904,S,,6,1,2,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0904,M,,1,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0940,S,156,,,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0940,M,,2,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0940,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0627.0940,G,1,,1,,,,,,,1,,,,,,,,,,,,,
W3-2.0627.0930,S,40,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0627.0930,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0909,S,2,,,,,1,,,,,,,,,,,,,,,,,
Z2-3.0630.0909,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0909,L,,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0915,S,22,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.1009,S,22,1,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.1009,M,,7,3,,,,,,,,,,,,,,,,,,,,
Z3-3.0630.1009,L,1,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0944,S,22,2,2,1,,1,,,,,,,,,,,,,,,,,
Z3-2.0630.0944,M,,,,,,1,,,,,,,,,,,,,,,,,
Z3-1.0630.0934,S,16,,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0934,M,1,3,1,,,1,,,,,,,,,,,,,,,,,
Z3-1.0630.0934,L,,,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0949,S,21,2,,1,2,,,,,,,,,,,,,,,,,,
Z1-1.0630.0949,M,,,,,,,6,,,,,,,,,,,,,,,,
Z1-1.0630.0949,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.1004,S,19,1,,3,,,,,,,,,,,,,,,,,,,
Z3-1.0630.1004,M,,2,3,,,1,,,,,,,,,,,,,,,,,
Z3-1.0630.1004,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0959,S,14,2,,1,,4,,,,,,,,,,,,,,,,,
Z3-2.0630.0959,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0959,G,,,,,,,,,,1,,,,,,,,,,,,,
Z3-1.0630.0949,S,14,3,1,2,,,,,,,,,,,,,,,,,,,
Z3-1.0630.0949,M,,6,3,,,1,,1,,,,,,,,,,,,,,,
Z3-1.0630.0949,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0834,S,4,5,,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0834,M,,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0929,S,18,3,1,2,,,,,,,,,,,,,,,,,,,
Z3-2.0630.0929,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0920,S,13,,,,,,,,,,,,,,,,,,,,,,
W1-1.0627.0920,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1005,S,20,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1005,M,,2,1,,,,,,,,,,,,,,,,,,,,
W2-1.0627.1005,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0950,S,39,,1,,,1,,,,,,,,,,,,,,,,,
W2-1.0627.0950,M,1,2,,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0950,L,,,3,,,,,,,,,,,,,,,,,,,,
W2-1.0627.0950,G,,,3,,,,,,,1,,,,,,,,,,,,,
W2-2.0627.1015,S,31,1,,1,,,,,,,,,,,,,,,,,,,
W2-2.0627.1015,M,,,1,,,1,,,,,,,,,,,,,,,,,
W2-2.0627.1015,L,,,,,,,,,,,1,,,,,,,,,,,,
W3-2.0620.0959,S,18,2,1,,,,1,,,,,,,,,,1,,Arachnid,,,,
W3-2.0620.0959,M,1,,,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0959,L,1,,,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0859,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0952,S,6,1,,,,,,,,,,,,,,,,,,,,,
W2-1.0613.0952,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0944,S,24,,3,,,,1,,,,,,,,,,,,2 Larval lepidoptera,,,,
W3-2.0620.0944,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-2.0620.0944,L,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0625.1000,S,2,3,,3,,,,,,,,,,,,,,,,,,,
S2-1.0625.0950,S,13,4,,3,,,,,,,,,,,,,,,,,,,
S2-1.0625.0950,M,2,5,2,,,,,,,,,,,,,,,,,,,,
S2-1.0625.0950,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0910,S,3,2,,4,,,,,,,,,,,,,,,,,,,
S3-3.0625.0910,M,1,3,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0855,S,5,,,2,,,,,,,,,,,,,,,,,,,
S3-2.0625.0945,S,3,2,1,9,,,,,,,,,,,,,,,,,,,
S3-2.0625.0945,M,,1,1,,,,,,,,,,,,,,,,,,,,
S3-2.0625.0945,L,,,2,,,,,,,,,,,,,,,,,,,,
S3-2.0625.0915,S,1,,,5,,,,,,,,,,,,,,,,,,,
S3-2.0625.0915,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0840,S,2,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0625.0840,M,1,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0825,S,2,,,,,,,,,,,,,,,,,,,,,,
S3-3.0625.0825,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.1000,S,2,,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.1000,M,1,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.1000,G,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0955,S,18,2,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0955,M,3,,2,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0955,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-2.0627.0945,S,7,,,,,,,,,,,,,,,,,,,,,,
W3-2.0627.0945,M,,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0945,S,3,1,,,,,,,,,,,,,,,1,,1 arachnid,,,,
W1-2.0627.0945,M,,2,1,,,,,,,,,,,,,,,,,,,,
W1-2.0627.0945,L,1,,1,,,,,,,,,,,,,,,,,,,,
Z1-1.0630.0904,S,5,3,,,,,,,,,,,,,,,,,,,,,
Z1-3.0630.0939,S,2,1,,,,,12,,,,,,,,,,,,,,,,
Z1-3.0630.0939,M,1,,2,,,,9,,,,,,,,,1,,,,,,,
Z3-1.0630.1019,S,18,3,3,,,,,,,,,,,,,,,,,,,,
Z3-1.0630.1019,M,,3,2,,,1,,,,,,,,,,,,,,,,,
Z3-1.0630.1019,L,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0919,S,8,1,,3,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0919,M,,5,2,,,,,,,,,,,,,,,,,,,,
Z2-1.0630.0919,L,,1,1,,,,,,,,,,,,,,,,,,,,
W1-3.0627.1010,S,40,,,1,,1,1,,,,,,,,,,,,,,,,
W1-3.0627.1010,M,1,4,1,,,,1,,,,,,,,,,,,,,,,
W1-3.0627.1010,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0627.1020,S,27,,,,,,,,,,,,,,,,1,,,,,,
W1-1.0627.1020,M,1,4,,,,,,,,,, ,,,,,,,,,,,
W1-1.0627.1020,L,1,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0924,S,2,2,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0924,M,,,1,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0924,L,,2,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0854,S,1,,,1,,2,,,,,,,,,,,,,,,,,
Z2-3.0630.0824,S,2,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0824,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.0839,E,,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0630.1009,S,3,,,1,,2,,,,,,,,,,,,,,,,,
Z2-3.0630.1009,M,,,1,2,,,,,,,,,,,,,,,,,,,
Z2-3.0630.1009,L,,,1,,,,,,,,1,,,,,,,,,,,,
S2-1.0702.0949,S,8,3,1,,,2,,,,,,,,,,,,,,,,,
S2-1.0702.0949,M,,2,1,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0949,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0702.0904,S,3,1,,2,,2,,,,,,,,,,,,,,,,,
S2-1.0702.0904,M,,2,1,,,,,,,,,,,,,,,,,,,,
S1-3.0702.0954,S,15,2,,,,2,,2,,,,,,,,,,,,,,,
S1-3.0702.0954,M,,1,1,1,,1,,,,,,,,,,,,,,,,,
S1-2.0702.0944,S,3,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0702.0944,M,,1,2,,,,,,,,,,,,,,,,,,,,
S1-2.0702.0944,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0934,S,9,8,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0934,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.1004,S,9,4,,1,,2,,1,,,,,,,,,,,,,,,
S1-1.0702.1004,M,,2,1,1,,,,,,,,,,,,,,,,,,,
S1-2.0702.0929,S,8,,1,,,2,,,,,,,,,,,,,,,,,
S1-2.0702.0929,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0702.1014,S,5,,,,,,,2,,,,,,,,,,,,,,,
S1-2.0702.1014,M,,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0702.1014,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0702.0824,S,,3,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0940,S,54,1,,5,,,3,,,,,,,,,,,,,,,,
W1-3.0627.0940,M,1,2,1,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0940,L,2,,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0940,G,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0840,S,6,,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0840,M,2,,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0925,S,64,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0925,M,2,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0627.0925,L,1,,,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0839,S,3,,,1,,,,1,,,,,,,,,,,,,,,
S3-3.0702.0839,M,,5,,,,,,,,,,,,,,,,,,,,,
S3-3.0702.0839,L,,4,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0929,S,4,2,,3,,1,,,,,,,,,,,,,,,,,
S3-2.0702.0929,M,2,,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0929,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0702.0934,S,4,2,,4,,,,,,,,,,,,,,,,,,,
S3-1.0702.0934,M,1,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0919,S,14,2,,,,1,,1,,,,,,,,,,,,,,,
S1-1.0702.0919,M,,2,,,,,,,,,,,,,,,,,,,,,
S1-1.0702.0919,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0702.0859,S,2,1,,3,,,,,,,,,,,,,,,,,,,
S3-3.0702.0824,S,2,,,,,,,,,,,,,,,,,,,,,,
